Signal Type,Company/Organization,City,Opportunity Description,Contact/Source,Time Sensitivity,Action Required,Status
NEW PLANT,Ideal Can Company,Chatham,New beverage can manufacturing plant opening - 100+ employees relocating to area,Contact Chatham-Kent Economic Development,HIGH - 2025-2026 opening,Partner with HR for employee relocation packages,New Lead
EV BATTERY PLANT,NextStar Energy,Windsor,2500+ jobs being created - massive worker relocation to Windsor,Ed Novacco - Director HR,HIGH - Hiring ongoing through 2025,Contact HR for relocation services partnership,Active
GREENHOUSE EXPANSION,Nature Fresh Farms,Leamington,Continuous expansion - workers relocating from across Canada and internationally,Dereck Pereira - VP Human Resources,MEDIUM - Ongoing,Partner with HR for seasonal and permanent worker moves,Active
GREENHOUSE EXPANSION,Mastronardi Produce (SUNSET),Leamington,Major employer 3500+ - constant hiring and worker relocation,Tiziana Mastronardi - HR Recruiter,MEDIUM - Ongoing,Partner with HR for relocation packages,Active
GREENHOUSE EXPANSION,Mucci Farms,Kingsville,Acquired Greenhill Produce Nov 2024 - expansion ongoing,HR Department,MEDIUM - Ongoing,Contact about consolidated operations moves,Active
COMMERCIAL DEVELOPMENT,Trinity Gate Development,Windsor,Massive mixed-use development - multiple commercial tenants moving in,Developer/Property Management,MEDIUM - Phased opening,Track retail tenant announcements for commercial moves,Monitoring
COMMERCIAL DEVELOPMENT,LaSalle Landing,LaSalle,New retail plaza - multiple retailers opening locations,Property Management,MEDIUM - 2025 opening,Contact incoming retail tenants for store setup moves,Monitoring
COMMERCIAL DEVELOPMENT,Farhi Holdings,Windsor/Region,Multiple commercial and residential projects,Shmuel Farhi (Developer),MEDIUM - Various projects,Track new tenant announcements,Monitoring
MEGA HOSPITAL,Windsor Regional Hospital,Windsor,New mega-hospital project - equipment and staff relocations,David Musyj - CEO,LOW - Long-term project,Monitor for construction phase moving needs,Future
REALTORS ASSOCIATION,WECAR (Windsor-Essex County Association of Realtors),Windsor,1400+ member realtors who refer movers constantly,Julianna Biondo - President,HIGH - Ongoing opportunity,Apply for preferred mover status with association,Priority Lead
SUBDIVISION DEVELOPMENT,HD Development Group,Oldcastle,Active subdivision developer - 40+ years in business,Abdul Aziz Habib (Abe) - Founder,MEDIUM - Ongoing,Partner for new homeowner move-in services,Active
UNIVERSITY HOUSING,University of Windsor,Windsor,International student housing - high turnover every semester,Jody Fraser - AVP Human Resources,HIGH - Seasonal (Aug/Dec/Apr),Partner with International Student Services,Active
COLLEGE HOUSING,St. Clair College,Windsor/Chatham,Multiple campuses - student housing moves,R. Demchuk - AVP Human Resources,HIGH - Seasonal (Aug/Dec/Apr),Partner with Student Services departments,Active
HOTEL EXPANSION,Caesars Windsor,Windsor,5000+ employees - ongoing recruitment and relocations,Lee Antoniw - Director HR,MEDIUM - Ongoing,Partner with HR for employee relocation,Active
TECH STARTUP,Various Windsor Tech Startups,Windsor,Growing tech sector - young professionals relocating,WEEDC/Invest WindsorEssex,MEDIUM - Ongoing,Monitor WEEDC announcements for new companies,Monitoring
BUSINESS AWARDS,WEEDC Business Excellence Winners,Windsor-Essex,Award-winning growing companies likely need moving services,Chamber of Commerce/WEEDC,LOW - Annual cycle,Track award announcements for outreach,Annual
NEW RESTAURANTS,Various,Windsor-Essex-Chatham,New restaurant openings = commercial kitchen/equipment moves,Local news monitoring,LOW - Ongoing,Track new restaurant announcements,Monitoring
RETAIL EXPANSION,Various National Retailers,Windsor-Essex-Chatham,National chains opening new locations,Commercial real estate news,MEDIUM - Ongoing,Track commercial leasing announcements,Monitoring
CONDO DEVELOPMENT,Olivia Construction,Windsor,Most active condo developer in Windsor - new resident moves,Tony Toldo - President,MEDIUM - Project based,Partner for new condo owner move-in services,Active
CONDO DEVELOPMENT,Brotto Development Corporation,Tecumseh,The Edgar development and other projects,Christian LeFave - President,MEDIUM - Project based,Partner for new condo owner move-in services,Active
CONDO DEVELOPMENT,Bellocorp Inc.,Windsor,Southwood Lakes Condos + Lofts development,Mike Chicken - President,MEDIUM - Project based,Partner for new condo owner move-in services,Active
LONG-TERM CARE,Lakeshore Residence (NEW),Lakeshore,NEW 160-bed facility opening 2026,Dan Argiros - CEO Riverdale Living,HIGH - Opening 2026,Contact about equipment moves and staff relocation,Priority Lead
SPORTS SPONSORSHIP,Windsor Spitfires,Windsor,OHL team sponsors = local business decision-makers,Sponsorship contact list,LOW - Relationship building,Review sponsor list for B2B outreach,Networking
CHAMBER EVENTS,Various Chambers of Commerce,Windsor-Essex-Chatham,Chamber members = business owners who relocate,Multiple chambers,LOW - Ongoing,Attend chamber networking events,Networking
ECONOMIC DEVELOPMENT,Invest WindsorEssex (WEEDC),Windsor,Tracks all new business investment in region,Stephen MacKenzie - CEO,LOW - Intelligence gathering,Monitor press releases for new companies,Intelligence
ECONOMIC DEVELOPMENT,Chatham-Kent Economic Development,Chatham,Tracks business investment in Chatham-Kent,Contact CK Economic Development,LOW - Intelligence gathering,Monitor announcements for new companies,Intelligence
